date,village,port,ground,sex,dml,tl,weight,lat,lon
2018-02-12,Somanga,Mbuyuni,CHAMBA CHA MACHANGE,F,14,110,1.385,-8.3978381,39.280793
2018-01-30,Bwejuu,Kusini,NYAMALILE,M,14.5,115,1.75,-7.9158093,39.6542357
2018-02-01,Somanga,Mbuyuni,BANIANI,M,17,115,1,-8.3926445,39.2815348
2018-01-21,Somanga,Mbuyuni,CHAMBA CHA SELEMANI,M,20,130,2.601,-8.3916141,39.2808858
2018-03-03,Somanga,Mbuyuni,BANDA,M,12,68,0.67,-8.3911457,39.2825083
2018-02-03,Somanga,Mbuyuni,MWAMBA JAHAZI,F,16,90,0.87,-8.3881477,39.2819625
2018-01-28,Songosongo,Pembeni,IMBI,M,15,96,1.02,-8.5269214,39.5102086
2018-02-20,Somanga,Mbuyuni,KOROBA,M,17,110,1.99,-8.3977731,39.2807855
2018-01-03,Jibondo,WALANI,LWALA,M,12,79,0.73,-7.9733902,39.7280478
2018-03-07,Songosongo,Pembeni,PWELA,F,12,84,0.875,-8.5287671,39.5052384
2018-01-01,Jibondo,WALANI,MCHANGA NYUMA,F,9,66.5,0.465,-7.9212189,39.666814
2018-01-03,Songosongo,Pembeni,IMBI,F,7,67,0.38,-8.5245525,39.5027535
2018-02-12,Jibondo,WALANI,MCHANGA NYUMA,M,9.5,57,0.45,-7.9746529,39.7333336
2018-02-12,Somanga,Mbuyuni,CHAMBA CHA SELEMANI,F,12,89,0.885,-8.3978381,39.280793
2018-01-07,Songosongo,Pembeni,PUPU,M,12,75,1.04,-8.5253303,39.5027721
2018-02-01,Somanga,Mbuyuni,KARUMBI KUBWA,F,12,87,1.06,-8.3913373,39.2808858
2018-01-05,Songosongo,Pembeni,MWAMBA WA KATI - SONGO,M,16,104,3.62,-8.5257726,39.5082688
2018-01-01,Jibondo,WALANI,MCHANGA NYUMA,M,10.5,72,0.62,0,0
2018-02-05,Songosongo,Funguni,IMBI,F,14,106,1.615,-8.5234063,39.5031224
2018-03-08,Songosongo,Pembeni,PWELA,M,16,99,1.615,-8.5287671,39.5052384
2018-03-02,Somanga,Mbuyuni,CHAMBA CHA SELEMANI,M,13,86,0.7,-8.3911457,39.2825083
2018-02-18,Jibondo,WALANI,MCHANGA NYUMA,M,10,68,0.3,-7.9191335,39.6653093
2018-01-18,Songosongo,Funguni,IMBI,F,11,86,0.68,-8.5129912,39.497275
2017-12-27,Bwejuu,Kusini,NYAMALILE,M,12,82,0.945,-6.7412701,39.1636337
2018-01-03,Songosongo,Pembeni,IMBI,F,13,72,1.165,-8.5232028,39.5028723
2018-02-17,Jibondo,WALANI,MCHANGA NYUMA,M,7,46,0.25,-7.9190075,39.6653273
2018-01-01,Jibondo,WALANI,MCHANGA NYUMA,M,10,68,0.785,-7.9190296,39.6653246
2017-12-19,Bwejuu,Kusini,NYAMALILE,F,10,73,0.745,-7.916452,39.6589407
2018-01-18,Songosongo,FUNGUNI,IMBI,M,13,79,1.025,-8.5137787,39.4953347
2018-01-05,Songosongo,Pembeni,MWAMBA WA KATI - SONGO,F,14,80,1.815,-8.5257726,39.5082688
2018-02-28,Bwejuu,Kusini,NYAMALILE,F,17,158,3.22,-7.9160826,39.6542357
2018-01-18,Songosongo,MBUYUNI,BANIANI,M,19,141,2.325,-8.3916141,39.2808858
2018-01-15,Somanga,Mbuyuni,MWAMBA MKUU,F,12,91,0.6,-8.4216475,39.2752449
2017-12-27,Jibondo,WALANI,Malokoni,M,9,68,0.25,-6.7417122,39.1662076
2017-12-19,Bwejuu,Kusini,NYAMALILE,F,11,79,0.695,-7.916452,39.6589407
2018-02-03,Somanga,Mbuyuni,KARUMBI KUBWA,M,17,98,1.001,-8.3926445,39.2815348
2018-02-03,Songosongo,Pembeni,IMBI,M,11,66,0.99,-8.5265244,39.5089154
2018-01-09,Songosongo,Pembeni,IMBI,F,8,49,0.425,-8.528925,39.5047433
2018-02-02,Songosongo,Pembeni,IMBI,M,18,97,3.395,-8.5266447,39.5102086
2018-02-26,Bwejuu,Kusini,NYAMALILE,M,10,85,1.435,-7.9160826,39.6542357
2018-03-04,Somanga,Mbuyuni,CHAMBA CHA SELEMANI,F,17,87,0.921,-8.3880438,39.2814612
2018-01-05,Songosongo,Pembeni,MWAMBA WA KATI - SONGO,M,15,95,1.29,-8.5257726,39.5082688
2018-01-30,Songosongo,Pembeni,IMBI,F,14,86,1.036,-8.5269214,39.5102086
2018-03-12,Jibondo,WALANI,MCHANGA NYUMA,F,9,63,0.2,-7.9189665,39.6652921
2018-01-02,Jibondo,WALANI,MCHANGA NYUMA,M,9.5,60.5,0.405,-7.9733938,39.7280458
2018-02-28,Bwejuu,Kusini,NYAMALILE,M,14,120,3.255,-7.9160826,39.6542357
2018-01-15,Somanga,Mbuyuni,BANIANI,M,16,116,1.445,-8.4216475,39.2752449
2018-01-30,Somanga,Mbuyuni,BANDA MRIMA,F,14,82,1,-8.3914225,39.2825083
2018-01-31,Somanga,Mbuyuni,KIJAMBA CHA WEMBE,M,13,90,2.875,-8.3913841,39.2828327
2018-01-03,Songosongo,Pembeni,IMBI,F,8,55,0.56,-8.5232028,39.5028723
2018-01-18,Songosongo,FUNGUNI,IMBI,F,11,78,0.56,-8.5137787,39.4953347
2018-02-28,Bwejuu,Kusini,NYAMALILE,M,18,140,3.12,-7.9160826,39.6542357
2018-02-20,Somanga,Mbuyuni,CHAMBA CHA SELEMANI,M,18,136,3.205,-8.3977731,39.2807855
2018-01-02,Jibondo,WALANI,MCHANGA NYUMA,F,11.5,86,0.605,-7.9733938,39.7280458
2018-01-01,Jibondo,WALANI,MCHANGA NYUMA,F,9,67,0.385,-7.9212189,39.666814
2018-02-20,Jibondo,WALANI,MCHANGA NYUMA,M,10,77,0.6,-7.9733374,39.7279309
2018-01-20,Songosongo,Funguni,IMBI,M,16,103,1.54,-8.523331,39.5030188
2018-01-20,Jibondo,WALANI,MCHANGA NYUMA,F,10,72,0.66,-7.9733466,39.7279827
2018-01-16,Somanga,Mbuyuni,CHAMBA CHA SELEMANI,F,13,98,1.175,-8.397738,39.2807041
2018-01-16,Jibondo,WALANI,MCHANGA NYUMA,F,8,51.5,0.34,0,0
2018-02-01,Songosongo,Pembeni,IMBI,F,14,90,0.97,-8.5262477,39.5089154
2018-02-18,Jibondo,WALANI,MCHANGA NYUMA,F,8.5,59,0.2,-7.9191335,39.6653093
2018-01-15,Jibondo,WALANI,MCHANGA NYUMA,M,10,76,0.515,-7.9205629,39.6677814
2018-01-05,Songosongo,Pembeni,IMBI,M,17,103,2.855,0,0
2017-12-27,Jibondo,WALANI,MCHANGA NYUMA,F,9,66,0.38,-6.7412701,39.1636337
2018-02-04,Songosongo,Pembeni,IMBI,M,14,96,1.155,-8.5234117,39.5031302
2018-02-20,Jibondo,WALANI,MCHANGA NYUMA,M,10.5,68,0.5,-7.9733374,39.7279309
2018-01-16,Somanga,Mbuyuni,MAKATONI,F,18,129,2.355,-8.397738,39.2807041
2018-03-07,Songosongo,Pembeni,PWELA,M,13,75,1.285,-8.5287671,39.5052384
