time,sst
2003-01-16,28.307281
2003-02-16,29.329742
2003-03-16,29.982178
2003-04-16,29.342224
2003-05-16,27.945312
2003-06-16,26.895966
2003-07-16,25.766693
2003-08-16,25.343567
2003-09-16,25.811768
2003-10-16,26.657043
2003-11-16,27.913818
2003-12-16,29.068054
2004-01-16,29.417572
2004-02-16,28.75476
2004-03-16,29.031982
2004-04-16,28.954285
2004-05-16,27.856232
2004-06-16,26.560852
2004-07-16,25.75879
2004-08-16,25.552185
2004-09-16,26.06549
2004-10-16,26.915436
2004-11-16,28.073853
2004-12-16,28.570648
2005-01-16,28.760162
2005-02-16,29.143646
2005-03-16,29.77414
2005-04-16,29.497986
2005-05-16,28.161102
2005-06-16,27.151093
2005-07-16,25.964111
2005-08-16,25.761444
2005-09-16,25.875519
2005-10-16,26.38675
2005-11-16,27.412354
2005-12-16,28.840363
2006-01-16,29.126434
2006-02-16,29.203308
2006-03-16,28.8219
2006-04-16,28.552917
2006-05-16,27.760101
2006-06-16,26.488556
2006-07-16,25.717377
2006-08-16,25.432709
2006-09-16,25.562317
2006-10-16,26.512299
2006-11-16,27.369507
2006-12-16,28.340698
2007-01-16,27.702179
2007-02-16,28.574127
2007-03-16,29.063019
2007-04-16,29.18805
2007-05-16,28.761688
2007-06-16,27.132843
2007-07-16,25.802826
2007-08-16,25.506836
2007-09-16,26.139038
2007-10-16,26.636383
2007-11-16,27.752686
2007-12-16,28.63153
2008-01-16,28.555267
2008-02-16,27.361908
2008-03-16,28.697693
2008-04-16,27.887177
2008-05-16,27.636444
2008-06-16,26.25534
2008-07-16,25.34076
2008-08-16,25.142273
2008-09-16,25.721375
2008-10-16,27.158386
2008-11-16,28.300964
2008-12-16,28.63617
2009-01-16,28.44226
2009-02-16,28.98767
2009-03-16,29.430603
2009-04-16,28.867584
2009-05-16,27.864655
2009-06-16,27.106995
2009-07-16,25.813293
2009-08-16,25.35199
2009-09-16,25.907715
2009-10-16,26.846527
2009-11-16,28.207794
2009-12-16,29.480988
2010-01-16,28.145355
2010-02-16,29.123627
2010-03-16,29.822845
2010-04-16,29.3703
2010-05-16,28.436676
2010-06-16,27.368164
2010-07-16,26.066528
2010-08-16,25.445618
2010-09-16,25.7247
2010-10-16,26.520538
2010-11-16,27.945984
2010-12-16,28.723663
2011-01-16,29.1279
2011-02-16,28.52832
2011-03-16,29.527466
2011-04-16,29.394531
2011-05-16,28.199738
2011-06-16,27.332153
2011-07-16,25.985962
2011-08-16,25.638428
2011-09-16,26.09964
2011-10-16,26.797363
2011-11-16,28.1362
2011-12-16,28.8255
2012-01-16,28.32196
2012-02-16,28.358337
2012-03-16,29.02063
2012-04-16,29.288452
2012-05-16,27.717865
2012-06-16,26.385834
2012-07-16,25.557098
2012-08-16,25.535126
2012-09-16,25.97699
2012-10-16,26.759308
2012-11-16,28.036865
2012-12-16,29.467133
2013-01-16,29.026215
2013-02-16,28.931488
2013-03-16,29.512787
2013-04-16,28.886627
2013-05-16,27.613068
2013-06-16,26.383728
2013-07-16,25.532074
2013-08-16,25.327087
2013-09-16,25.934692
2013-10-16,27.00064
2013-11-16,28.582916
2013-12-16,28.893677
2014-01-16,28.711395
2014-02-16,28.58847
2014-03-16,29.0542
2014-04-16,28.684296
2014-05-16,27.645782
2014-06-16,26.927216
2014-07-16,25.979645
2014-08-16,25.971008
2014-09-16,25.885223
2014-10-16,27.022583
2014-11-16,28.242676
2014-12-16,29.166748
2015-01-16,27.40033
2015-02-16,28.724792
2015-03-16,28.852325
2015-04-16,28.870789
2015-05-16,28.060272
2015-06-16,27.148315
2015-07-16,26.248047
2015-08-16,25.956512
2015-09-16,26.31717
2015-10-16,27.26178
2015-11-16,28.095184
2015-12-16,29.307037
2016-01-16,28.974243
2016-02-16,28.438843
2016-03-16,30.205261
2016-04-16,29.26944
2016-05-16,28.155273
2016-06-16,26.665436
2016-07-16,25.64981
2016-08-16,25.749786
2016-09-16,25.77127
2016-10-16,26.463257
2016-11-16,27.747986
2016-12-16,28.759857
2017-01-16,28.784729
2017-02-16,29.129852
2017-03-16,29.437683
2017-04-16,28.730164
2017-05-16,27.598114
2017-06-16,27.169617
2017-07-16,26.27597
2017-08-16,25.88263
2017-09-16,26.364532
2017-10-16,26.996704
2017-11-16,28.474518
2017-12-16,28.733704
2018-01-16,27.740906
2018-02-16,29.024567
2018-03-16,28.836578
2018-04-16,28.95874
2018-05-16,28.148865
2018-06-16,27.171722
2018-07-16,26.093475
2018-08-16,26.202698
2018-09-16,26.484772
2018-10-16,26.977722
2018-11-16,27.80542
2018-12-16,28.99115
2019-01-16,29.257751
2019-02-16,29.179169
2019-03-16,29.812866
2019-04-16,29.61435
2019-05-16,28.006287
2019-06-16,27.157684
2019-07-16,26.313446
2019-08-16,26.131989
2019-09-16,26.454163
2019-10-16,27.516754
2019-11-16,28.622528
2019-12-16,29.136505
2020-01-16,28.938599
2020-02-16,29.599548
2020-03-16,29.942963
2020-04-16,29.38742
2020-05-16,28.360077
2020-06-16,27.263489
2020-07-16,26.17514
2020-08-16,25.81897
2020-09-16,26.194275
2020-10-16,27.474884
2020-11-16,28.218139999999998
2020-12-16,28.928162
2021-01-16,28.571594
2021-02-16,28.760437
2021-03-16,29.0896
2021-04-16,28.64618
2021-05-16,27.432465
2021-06-16,26.558472
2021-07-16,25.806732
